"GOOG","Google Inc.",294.7B,880.37,26.34
"FB","Facebook, Inc.",60.157B,24.88,540.87
"AAPL","Apple Inc.",377.9B,396.53,9.46
"YHOO","Yahoo! Inc.",27.477B,25.13,7.29
"MSFT","Microsoft Corpora",290.0B,34.545,17.83
"LNKD","LinkedIn Corporat",19.749B,178.30,691.09
"CRM","Salesforce.com In",22.739B,38.18,N/A
